Fecha ,Lote ,Origen,Variedad,Proceso,Beneficio ,Peso en Verde,Merma ,Peso en Tostado ,Perfil ,Temp. De inicio y final,Tiempo de tueste,Observaciones ,Tostador
29-2-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,15,20.00,12,Espresso,170°/190°,8:09,,LFQ
29-2-24,15-080923,Aipe ,Maragogipe ,Lavado ,Lavado ,3,16.67,2.5,Filtrados ,170°/189°,8:34,,LFQ
29-2-24,19-130224,Herrera ,Gesha ,Natural ,Natural ,4,15.00,3.4,Filtrados ,170°/190°,7:49,,LFQ
1-3-24,01-220124,Jerico,Dos mil ,Tradicional,Lavado ,66,16.67,55,Filtrados ,180°/193°,8:58,,LFQ
1-3-24,15-080923,Aipe ,Maragogipe ,Lavado ,Lavado ,3,16.67,2.5,Espresso,170°/189°,8:34,,LFQ
8-3-24,01-220124,Jerico,Dos mil ,Tradicional,Lavado ,40,15.00,34,Filtrados ,180°/193°,8:58,,LFQ
11-3-24,20-130224 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,7:49,,LFQ
11-3-24,19-130224,Herrera ,Gesha ,Natural ,Natural ,3,20.00,2.4,Filtrados ,170°/190°,7:49,,LFQ
11-3-24,18-221223,Rioblanco,Caturra ,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,9:01,,LFQ
22-3-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,6,16.67,5,Filtrados ,175°/191°,8:14,,LFQ
22-3-24,01-220124,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Filtrados ,180°/193°,8:58,,LFQ
22-3-24,20-130224 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,6,16.67,5,Filtrados ,170°/190°,7:49,,LFQ
22-3-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,6,16.67,5,Espresso,170°/190°,8:09,,LFQ
22-3-24,15-080923,Aipe ,Maragogipe ,Lavado ,Lavado ,6,16.67,5,Filtrados ,170°/189°,8:34,,LFQ
22-3-24,19-130224,Herrera ,Gesha ,Natural ,Natural ,6,16.67,5,Filtrados ,170°/190°,7:49,,LFQ
22-3-24,18-221223,Rioblanco,Caturra ,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,9:01,,LFQ
22-3-24,07-200224 ,Jerico,Dos mil ,Lavado ,Lavado ,6,16.67,5,Filtrados ,175°/191°,8:16,,LFQ
3-4-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,6,16.67,5,Espresso,170°/190°,8:09,,LFQ
3-4-24,01-220124,Jerico,Dos mil ,Tradicional,Lavado ,48,16.67,40,Filtrados ,180°/193°,8:58,,LFQ
12-4-24,15-080923,Aipe ,Maragogipe ,Lavado ,Lavado ,2,15.00,1.7,Filtrados ,170°/189°,8:34,,LFQ
12-4-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,66,16.67,55,Filtrados ,180°/193°,8:58,,LFQ
15-4-24 ,20-130224 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,7:49,,LFQ
15-4-24 ,19-130224,Herrera ,Gesha ,Natural ,Natural ,3,20.00,2.4,Filtrados ,170°/190°,7:49,,LFQ
17-4-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,3,16.67,2.5,Filtrados ,175°/191°,8:03,,LFQ
17-4-24 ,18-221223,Rioblanco,Caturra ,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,9:01,,LFQ
17-4-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,6,16.67,5,Filtrados ,175°/191°,8:14,,LFQ
17-4-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,180°/193°,8:58,,LFQ
17-4-24,05-070424,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,175°/191°,8:16,,LFQ
17-4-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,6,16.67,5,Filtrados ,170°/190°,8:09,,LFQ
